origin_device,origin_date,follower_device,follower_date,lag_days,origin_final_tier,follower_final_tier,origin_score,follower_score,pair_score,follower_role,follower_raw_axes_present,follower_csv_axes_present,support_class
USER_ORIGIN_MINI1,2025-08-01,EXT_REMOTE_GEO_C,2025-08-02,1,B_RAW_WINDOW_SUPPORT,B_RAW_WINDOW_SUPPORT,400.317,303.572,415.651,EXTERNAL_GEO_SEPARATED,9,9,RAW_AND_CSV_RESULT_SUPPORT
USER_ORIGIN_MINI1,2025-08-08,EXT_CONTACT_D,2025-08-08,0,B_RAW_WINDOW_SUPPORT,B_RAW_WINDOW_SUPPORT,407.029,313.684,415.441,EXTERNAL_CONTACT_KNOWN,9,9,RAW_AND_CSV_RESULT_SUPPORT
USER_ORIGIN_MINI1,2025-08-03,EXT_CONTACT_D,2025-08-06,3,B_RAW_WINDOW_SUPPORT,B_RAW_WINDOW_SUPPORT,400.553,315.142,415.28,EXTERNAL_CONTACT_KNOWN,9,9,RAW_AND_CSV_RESULT_SUPPORT
USER_ORIGIN_MINI1,2025-08-04,EXT_REMOTE_GEO_C,2025-08-06,2,A_CROSS_CORE_0804,B_RAW_WINDOW_SUPPORT,420.684,297.812,414.983,EXTERNAL_GEO_SEPARATED,9,9,RAW_AND_CSV_RESULT_SUPPORT
USER_ORIGIN_MINI1,2025-08-06,EXT_REMOTE_GEO_C,2025-08-08,2,B_RAW_WINDOW_SUPPORT,B_RAW_WINDOW_SUPPORT,317.748,323.269,414.706,EXTERNAL_GEO_SEPARATED,9,9,RAW_AND_CSV_RESULT_SUPPORT
USER_ORIGIN_MINI1,2025-08-04,EXT_REMOTE_GEO_C,2025-08-05,1,A_CROSS_CORE_0804,B_RAW_WINDOW_SUPPORT,420.684,295.373,412.544,EXTERNAL_GEO_SEPARATED,9,9,RAW_AND_CSV_RESULT_SUPPORT
USER_ORIGIN_MINI1,2025-08-02,EXT_REMOTE_GEO_C,2025-08-05,3,B_RAW_WINDOW_SUPPORT,B_RAW_WINDOW_SUPPORT,420.325,295.373,412.454,EXTERNAL_GEO_SEPARATED,9,9,RAW_AND_CSV_RESULT_SUPPORT
USER_ORIGIN_MINI1,2025-08-05,EXT_REMOTE_GEO_C,2025-08-06,1,B_RAW_WINDOW_SUPPORT,B_RAW_WINDOW_SUPPORT,410.032,297.812,412.32,EXTERNAL_GEO_SEPARATED,9,9,RAW_AND_CSV_RESULT_SUPPORT
USER_ORIGIN_MINI1,2025-08-02,EXT_REMOTE_GEO_C,2025-08-03,1,B_RAW_WINDOW_SUPPORT,B_RAW_WINDOW_SUPPORT,420.325,294.963,412.044,EXTERNAL_GEO_SEPARATED,9,9,RAW_AND_CSV_RESULT_SUPPORT
USER_ORIGIN_MINI1,2025-08-06,USER_BRIDGE_15G,2025-08-06,0,B_RAW_WINDOW_SUPPORT,B_RAW_WINDOW_SUPPORT,317.748,322.033,411.47,BRIDGE_TO_LATER_JOKER,9,9,RAW_AND_CSV_RESULT_SUPPORT
USER_ORIGIN_MINI1,2025-08-03,EXT_REMOTE_GEO_C,2025-08-06,3,B_RAW_WINDOW_SUPPORT,B_RAW_WINDOW_SUPPORT,400.553,297.812,409.95,EXTERNAL_GEO_SEPARATED,9,9,RAW_AND_CSV_RESULT_SUPPORT
USER_ORIGIN_MINI1,2025-08-05,EXT_REMOTE_GEO_C,2025-08-05,0,B_RAW_WINDOW_SUPPORT,B_RAW_WINDOW_SUPPORT,410.032,295.373,409.881,EXTERNAL_GEO_SEPARATED,9,9,RAW_AND_CSV_RESULT_SUPPORT
USER_ORIGIN_MINI1,2025-08-06,EXT_CONTACT_E_12PROMAX,2025-08-09,3,B_RAW_WINDOW_SUPPORT,B_RAW_WINDOW_SUPPORT,317.748,330.376,409.813,EXTERNAL_CONTACT_KNOWN,9,9,RAW_AND_CSV_RESULT_SUPPORT
USER_ORIGIN_MINI1,2025-08-09,EXT_NO_CONTACT_A,2025-08-10,1,B_RAW_WINDOW_SUPPORT,B_RAW_WINDOW_SUPPORT,422.374,291.248,408.841,EXTERNAL_CRITICAL_NO_DIRECT_CONTACT,9,0,RAW_ONLY
USER_ORIGIN_MINI1,2025-08-10,EXT_NO_CONTACT_A,2025-08-10,0,B_RAW_WINDOW_SUPPORT,B_RAW_WINDOW_SUPPORT,419.215,291.248,408.052,EXTERNAL_CRITICAL_NO_DIRECT_CONTACT,9,0,RAW_ONLY
USER_ORIGIN_MINI1,2025-08-04,USER_DEVICE_12G,2025-08-05,1,A_CROSS_CORE_0804,B_RAW_WINDOW_SUPPORT,420.684,302.779,407.95,USER_CLUSTER_SUPPORT,8,9,RAW_AND_CSV_RESULT_SUPPORT
USER_ORIGIN_MINI1,2025-08-07,EXT_NO_CONTACT_A,2025-08-10,3,B_RAW_WINDOW_SUPPORT,B_RAW_WINDOW_SUPPORT,418.6,291.248,407.898,EXTERNAL_CRITICAL_NO_DIRECT_CONTACT,9,0,RAW_ONLY
USER_ORIGIN_MINI1,2025-08-02,USER_DEVICE_12G,2025-08-05,3,B_RAW_WINDOW_SUPPORT,B_RAW_WINDOW_SUPPORT,420.325,302.779,407.86,USER_CLUSTER_SUPPORT,8,9,RAW_AND_CSV_RESULT_SUPPORT
USER_ORIGIN_MINI1,2025-08-03,EXT_REMOTE_GEO_C,2025-08-05,2,B_RAW_WINDOW_SUPPORT,B_RAW_WINDOW_SUPPORT,400.553,295.373,407.511,EXTERNAL_GEO_SEPARATED,9,9,RAW_AND_CSV_RESULT_SUPPORT
