device,date,role,final_tier,support_class,combined_score,raw_tier,raw_score,raw_axes_present,raw_total_axis_hits,csv_support_score,csv_axes_present,csv_total_hits,raw_trial_ab,csv_trial_ab,raw_cloud_trust,csv_cloud_trust,raw_policy_restriction,csv_policy_restriction,raw_backup_manifest,csv_backup_manifest,raw_telecom_wifi_proximity,csv_telecom_wifi_proximity,raw_daemon_seam,csv_daemon_seam,raw_evidence_pressure,csv_evidence_pressure,raw_lateral_trust,csv_lateral_trust,raw_shadow_cloud_terms,csv_shadow_cloud_terms
EXT_CONTACT_E_12PROMAX,2025-08-10,EXTERNAL_CONTACT_KNOWN,B_RAW_WINDOW_SUPPORT,RAW_AND_CSV_RESULT_SUPPORT,340.362,B_RAW_WINDOW_SUPPORT,274.663,9,8445,170.568,9,85656,119,11462,7193,11683,73,9802,114,10012,119,12242,337,3307,350,13742,139,665,1,12741
EXT_UNCERTAIN_B,2025-08-08,EXTERNAL_CRITICAL_UNCERTAIN_CONTACT,B_RAW_WINDOW_SUPPORT,RAW_AND_CSV_RESULT_SUPPORT,340.032,B_RAW_WINDOW_SUPPORT,270.713,9,3263,158.055,9,17787,171,1344,663,2380,10,1063,40,1094,1136,1677,213,2576,927,3880,67,42,36,3731
EXT_CONTACT_E_12PROMAX,2025-08-01,EXTERNAL_CONTACT_KNOWN,B_RAW_WINDOW_SUPPORT,RAW_AND_CSV_RESULT_SUPPORT,339.529,B_RAW_WINDOW_SUPPORT,274.727,9,4970,168.007,9,42125,224,5952,3565,5661,43,3869,78,4377,173,6298,178,1430,603,6926,98,538,8,7074
EXT_CONTACT_D,2025-08-05,EXTERNAL_CONTACT_KNOWN,B_RAW_WINDOW_SUPPORT,RAW_AND_CSV_RESULT_SUPPORT,338.25,B_RAW_WINDOW_SUPPORT,274.136,9,3166,166.04,9,29215,267,2623,1527,4510,14,2122,225,4083,273,3362,135,1635,549,5117,43,295,133,5468
USER_DEVICE_11PRO,2025-08-10,USER_CLUSTER_SUPPORT,B_RAW_WINDOW_SUPPORT,RAW_AND_CSV_RESULT_SUPPORT,337.095,B_RAW_WINDOW_SUPPORT,272.18,9,3593,168.329,9,19481,46,1888,862,2615,15,806,957,2832,624,2631,55,1988,964,3888,37,994,33,1839
EXT_CONTACT_D,2025-08-04,EXTERNAL_CONTACT_KNOWN,A_CROSS_CORE_0804,RAW_AND_CSV_RESULT_SUPPORT,336.894,A_RAW_CORE_0804,264.22,9,2951,167.64,9,35528,328,3307,1407,5418,13,2956,28,4330,255,4368,157,2155,592,6751,43,365,128,5878
EXT_NO_CONTACT_A,2025-08-04,EXTERNAL_CRITICAL_NO_DIRECT_CONTACT,A_RAW_CORE_0804_NO_CSV_ECHO,RAW_ONLY,334.67,A_RAW_CORE_0804,318.67,9,34080,0,0,0,77,0,5446,0,12,0,6779,0,2884,0,297,0,5845,0,12692,0,48,0
USER_DEVICE_12G,2025-08-10,USER_CLUSTER_SUPPORT,B_RAW_WINDOW_SUPPORT,RAW_AND_CSV_RESULT_SUPPORT,332.756,B_RAW_WINDOW_SUPPORT,266.935,9,2407,170.917,9,42560,278,4308,668,6393,5,1086,374,5569,342,6014,132,3036,518,8498,42,3047,48,4609
EXT_CONTACT_E_12PROMAX,2025-08-09,EXTERNAL_CONTACT_KNOWN,B_RAW_WINDOW_SUPPORT,RAW_AND_CSV_RESULT_SUPPORT,330.376,B_RAW_WINDOW_SUPPORT,265.231,9,6928,168.985,9,75587,80,9455,5933,9893,48,8762,98,9212,98,10576,304,2868,266,12708,97,420,4,11693
USER_DEVICE_MINI2,2025-08-05,USER_CLUSTER_SUPPORT,B_RAW_WINDOW_SUPPORT,RAW_AND_CSV_RESULT_SUPPORT,329.867,B_RAW_WINDOW_SUPPORT,263.967,9,2679,171.144,9,44121,369,4230,1332,6151,18,2356,33,6080,207,5991,303,3442,330,9615,36,1788,51,4468
EXT_CONTACT_D,2025-08-03,EXTERNAL_CONTACT_KNOWN,B_RAW_WINDOW_SUPPORT,RAW_AND_CSV_RESULT_SUPPORT,329.798,B_RAW_WINDOW_SUPPORT,266.116,9,3143,164.807,9,26598,152,2341,1933,3659,15,2019,123,3766,174,3232,155,1423,466,4917,55,233,70,5008
EXT_UNCERTAIN_B,2025-08-02,EXTERNAL_CRITICAL_UNCERTAIN_CONTACT,B_RAW_WINDOW_SUPPORT,RAW_AND_CSV_RESULT_SUPPORT,329.185,B_RAW_WINDOW_SUPPORT,266.587,9,2850,138.851,9,4673,172,495,434,688,10,327,30,337,963,504,156,578,954,914,92,33,39,797
USER_DEVICE_MINI2,2025-08-01,USER_CLUSTER_SUPPORT,B_RAW_WINDOW_SUPPORT,RAW_AND_CSV_RESULT_SUPPORT,329.131,B_RAW_WINDOW_SUPPORT,264.501,9,2733,167.513,9,17368,153,1732,1467,1899,30,754,30,2096,558,2438,150,1709,261,3743,45,1143,39,1854
EXT_REMOTE_GEO_C,2025-08-07,EXTERNAL_GEO_SEPARATED,B_RAW_WINDOW_SUPPORT,RAW_AND_CSV_RESULT_SUPPORT,324.866,B_RAW_WINDOW_SUPPORT,252.135,9,1099,167.804,9,32881,120,4567,74,3689,27,2942,114,3542,151,4687,201,1637,264,5748,129,477,19,5592
EXT_REMOTE_GEO_C,2025-08-08,EXTERNAL_GEO_SEPARATED,B_RAW_WINDOW_SUPPORT,RAW_AND_CSV_RESULT_SUPPORT,323.269,B_RAW_WINDOW_SUPPORT,250.323,9,1192,168.416,9,41461,116,5852,90,4924,39,4211,92,4026,93,5888,220,2118,458,7103,77,475,7,6864
EXT_REMOTE_GEO_C,2025-08-04,EXTERNAL_GEO_SEPARATED,A_CROSS_CORE_0804,RAW_AND_CSV_RESULT_SUPPORT,323.084,A_RAW_CORE_0804,243.015,9,892,165.912,9,37415,133,5286,96,4908,28,3783,98,4045,102,5431,127,1262,240,6423,49,283,19,5994
USER_BRIDGE_15G,2025-08-06,BRIDGE_TO_LATER_JOKER,B_RAW_WINDOW_SUPPORT,RAW_AND_CSV_RESULT_SUPPORT,322.033,B_RAW_WINDOW_SUPPORT,251.234,9,1770,170.853,9,57011,330,6651,418,6479,7,1941,25,6120,348,14055,113,3047,370,11124,42,3511,117,4083
EXT_UNCERTAIN_B,2025-08-05,EXTERNAL_CRITICAL_UNCERTAIN_CONTACT,B_RAW_WINDOW_SUPPORT,RAW_AND_CSV_RESULT_SUPPORT,321.754,B_RAW_WINDOW_SUPPORT,255.935,9,2527,148.055,9,6784,107,644,399,593,9,580,24,445,997,841,77,686,809,1562,62,119,43,1314
USER_BRIDGE_15G,2025-08-03,BRIDGE_TO_LATER_JOKER,B_RAW_WINDOW_SUPPORT,RAW_AND_CSV_RESULT_SUPPORT,321.486,B_RAW_WINDOW_SUPPORT,251.066,9,1997,169.771,9,27616,174,2371,881,3118,8,1278,32,2738,231,6734,165,2734,382,4577,28,1145,96,2921
USER_DEVICE_MINI2,2025-08-02,USER_CLUSTER_SUPPORT,B_RAW_WINDOW_SUPPORT,RAW_AND_CSV_RESULT_SUPPORT,318.985,B_RAW_WINDOW_SUPPORT,254.175,9,2239,168.028,9,21568,318,1724,1203,3547,18,649,39,3481,99,2581,264,2314,259,3887,36,1020,3,2365
USER_DEVICE_MINI2,2025-08-06,USER_CLUSTER_SUPPORT,B_RAW_WINDOW_SUPPORT,RAW_AND_CSV_RESULT_SUPPORT,318.889,B_RAW_WINDOW_SUPPORT,252.684,9,2024,172.015,9,48882,394,4465,688,8125,8,1400,71,6796,114,5096,436,5039,254,11381,19,1038,40,5542
